id,aeq0_deg,lamda0_deg,ppar0,pper0,alpha0_deg
74,46.895649434476184,-0.8923915693333306,3.2408296155345044e-22,3.4667510464232343e-22,46.9290789920851
75,30.928295218670968,9.494520765322584,3.541276639094802e-22,2.309668794853243e-22,33.11293738444151
76,111.64919979241381,-8.088008509545789,-9.812532593008315e-23,4.0341902789048325e-22,103.67082080763016
77,80.80675853629542,0.806297258357346,8.106086308048726e-23,5.098334421542539e-22,80.96588832819465
78,96.81151381110475,-1.0590840652471378,-4.6879145365471985e-23,4.15830131030747e-22,96.43215547532193
79,84.00883932217951,-0.68183791842619,5.0767736222092534e-23,4.985360182410951e-22,84.18540635608758
80,98.6860394658484,2.1166512921555025,-6.134999509336783e-23,4.694555683442721e-22,97.44540738973922
81,109.27077542802107,-8.47800943880232,-6.07344730018647e-23,4.530344324381093e-22,97.63563126109968
82,73.74804794709644,-0.903777109623543,1.217793736672762e-22,4.2076945849158043e-22,73.85846452119317
83,92.9560300067734,1.2135003314750799,-1.1850945373986584e-23,4.66616647376681e-22,91.45486282543973
84,87.51550252070271,-0.4446590470259216,1.9583700399796098e-23,4.878905922974372e-22,87.70140813615366
85,116.17046200670445,-8.139131468131954,-1.663068281926158e-22,4.531196357866854e-22,110.15446534451169
86,90.32306949211359,0.057723525359020984,-2.514791428092785e-24,4.819482636830962e-22,90.29896492708714
87,58.98613623171758,-12.210319268842188,1.322195641648029e-22,3.909833401583294e-22,71.31590984673566
88,95.52159346172908,-0.6636074907691327,-4.374097861875714e-23,4.6798777409541795e-22,95.33969843044534
89,75.66458247478327,4.503023241044142,9.603568793427545e-23,5.048025238835702e-22,79.22853643829171
90,90.61737464970889,0.0021179525403903776,-4.50997926612532e-24,4.185458858771184e-22,90.61735830206729
91,76.82444459046658,4.552747053233134,7.196521461304053e-23,4.520480579404529e-22,80.95452451191767
92,86.37456260524303,-0.2386837440534677,3.090955963582925e-23,4.926717617704579e-22,86.41004557893349
93,76.3230028958849,-2.706252322345444,1.1183100541974336e-22,5.070175592415672e-22,77.56163449261686
94,89.73934994821012,0.07207370029493831,1.5172767170054075e-24,4.1181212690436174e-22,89.78890092545853
95,78.77768561578107,-1.1728719837192818,8.358186216238521e-23,4.321400721944279e-22,79.05336926699144
96,71.94765286497292,-7.075464975040731,7.68936399681534e-23,4.2086219724295733e-22,79.64597461994458
97,62.13233269224786,-2.9286437055740286,2.374234495079837e-22,4.615254186991207e-22,62.77725990743579
98,78.49861194984175,5.172103672864031,3.053154560420563e-23,4.795184190126029e-22,86.3568229592558
99,57.15259063287139,12.176846232372071,1.909596000157458e-22,4.759728071626526e-22,68.13941512110331
